Win,Time,Points,Enemy Algorithm
False,48.34177017211914,12,bfs
False,16.163582801818848,10,bfs
False,12.86440134048462,13,bfs
False,34.54063415527344,25,bfs
False,15.211629867553711,7,bfs
False,30.189354419708252,12,bfs
False,32.07896947860718,28,bfs
False,17.99583673477173,8,bfs
False,30.340049266815186,9,bfs
False,19.0936017036438,12,bfs
False,13.979213237762451,9,bfs
True,25.16012668609619,39,bfs
False,24.860353469848633,18,bfs
False,18.484621047973633,13,bfs
False,32.3616623878479,28,bfs
False,19.66318368911743,11,bfs
False,29.79280710220337,12,bfs
False,12.338433265686035,5,bfs
False,18.76088857650757,11,bfs
True,105.84372520446777,41,bfs
False,40.790958404541016,9,bfs
False,43.18225383758545,8,bfs
False,22.851693630218506,16,bfs
False,18.45088005065918,11,bfs
False,19.647979736328125,13,bfs
False,38.225600719451904,10,bfs
False,23.86441469192505,16,bfs
False,19.349191188812256,12,bfs
False,26.458871364593506,22,bfs
True,24.353647232055664,36,bfs
False,24.800748825073242,20,bfs
False,15.5564284324646,7,bfs
False,32.1842360496521,23,bfs
False,27.756927013397217,21,bfs
False,11.728184223175049,6,bfs
False,18.09661865234375,12,bfs
False,12.958450317382812,9,bfs
False,20.718486309051514,14,bfs
True,124.1995644569397,38,bfs
False,24.049999713897705,13,bfs
False,23.537781238555908,19,bfs
False,15.089404582977295,10,bfs
False,26.46141290664673,20,bfs
False,19.17541265487671,11,bfs
True,13.395822048187256,38,bfs
False,26.820223331451416,23,bfs
False,21.88277006149292,15,bfs
False,21.14403486251831,14,bfs
False,23.184328079223633,17,bfs
False,23.549740314483643,18,bfs
False,12.50983476638794,9,bfs
False,19.935173988342285,14,bfs
False,16.65708303451538,9,bfs
False,91.10419988632202,8,bfs
False,17.913026809692383,13,bfs
True,52.2571325302124,34,bfs
False,20.98118543624878,16,bfs
True,27.35252857208252,43,bfs
False,19.43755865097046,12,bfs
False,33.00057411193848,10,bfs
False,12.337658405303955,8,bfs
False,29.834554195404053,26,bfs
False,15.83956241607666,7,bfs
False,27.50598669052124,16,bfs
True,14.97377634048462,39,bfs
False,25.85829257965088,21,bfs
False,19.96387243270874,12,bfs
True,20.39339780807495,44,bfs
False,26.11452579498291,20,bfs
False,19.641940593719482,14,bfs
False,24.490294456481934,12,bfs
False,23.537774085998535,16,bfs
False,20.812463760375977,14,bfs
False,13.635830879211426,11,bfs
False,21.850666999816895,21,bfs
False,26.20940923690796,20,bfs
False,23.935890197753906,13,bfs
False,21.964094638824463,16,bfs
True,19.960882663726807,40,bfs
False,18.919365406036377,12,bfs
False,21.109862327575684,21,bfs
False,21.016860008239746,8,bfs
False,25.534470081329346,20,bfs
False,18.325684070587158,12,bfs
False,20.341060161590576,13,bfs
False,19.681365489959717,12,bfs
False,24.701175689697266,22,bfs
False,15.66917896270752,9,bfs
False,21.125977039337158,15,bfs
True,26.186373233795166,39,bfs
False,20.817508697509766,14,bfs
False,13.90181303024292,8,bfs
False,18.282644748687744,12,bfs
False,44.7279691696167,27,bfs
False,37.01915264129639,29,bfs
False,29.689669609069824,10,bfs
False,19.530324935913086,12,bfs
False,15.058326721191406,9,bfs
True,16.820545196533203,41,bfs
False,15.680036544799805,7,bfs
